Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Unit;Yield_grams_animal;Flag;Flag Description
QL;Livestock Primary;80;Bosnia and Herzegovina;5424;Yield/Carcass Weight;1058;Meat, chicken;2018;2018;0.1g/An;15380;g/An;1538;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1089;Meat, bird nes;2014;2014;0.1g/An;19946;g/An;1994,6;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1089;Meat, bird nes;2015;2015;0.1g/An;19877;g/An;1987,7;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1089;Meat, bird nes;2016;2016;0.1g/An;20324;g/An;2032,4;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1089;Meat, bird nes;2017;2017;0.1g/An;20647;g/An;2064,7;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1089;Meat, bird nes;2018;2018;0.1g/An;20970;g/An;2097;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1058;Meat, chicken;2014;2014;0.1g/An;16916;g/An;1691,6;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1058;Meat, chicken;2015;2015;0.1g/An;16855;g/An;1685,5;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1058;Meat, chicken;2016;2016;0.1g/An;17096;g/An;1709,6;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1058;Meat, chicken;2017;2017;0.1g/An;17380;g/An;1738;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1058;Meat, chicken;2018;2018;0.1g/An;17056;g/An;1705,6;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1069;Meat, duck;2014;2014;0.1g/An;37579;g/An;3757,9;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1069;Meat, duck;2015;2015;0.1g/An;38236;g/An;3823,6;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1069;Meat, duck;2016;2016;0.1g/An;39000;g/An;3900;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1069;Meat, duck;2017;2017;0.1g/An;35126;g/An;3512,6;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1069;Meat, duck;2018;2018;0.1g/An;36042;g/An;3604,2;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2014;2014;0.1g/An;49048;g/An;4904,8;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2015;2015;0.1g/An;28750;g/An;2875;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2016;2016;0.1g/An;36250;g/An;3625;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2017;2017;0.1g/An;42857;g/An;4285,7;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2018;2018;0.1g/An;46957;g/An;4695,7;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2014;2014;0.1g/An;17006;g/An;1700,6;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2015;2015;0.1g/An;16984;g/An;1698,4;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2016;2016;0.1g/An;16974;g/An;1697,4;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2017;2017;0.1g/An;16921;g/An;1692,1;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2018;2018;0.1g/An;16869;g/An;1686,9;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1080;Meat, turkey;2014;2014;0.1g/An;59375;g/An;5937,5;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1080;Meat, turkey;2015;2015;0.1g/An;49273;g/An;4927,3;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1080;Meat, turkey;2016;2016;0.1g/An;40435;g/An;4043,5;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1080;Meat, turkey;2017;2017;0.1g/An;53400;g/An;5340;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5424;Yield/Carcass Weight;1080;Meat, turkey;2018;2018;0.1g/An;51143;g/An;5114,3;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1058;Meat, chicken;2014;2014;0.1g/An;12391;g/An;1239,1;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1058;Meat, chicken;2015;2015;0.1g/An;12203;g/An;1220,3;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1058;Meat, chicken;2016;2016;0.1g/An;11027;g/An;1102,7;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1058;Meat, chicken;2017;2017;0.1g/An;11311;g/An;1131,1;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1058;Meat, chicken;2018;2018;0.1g/An;10150;g/An;1015;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1069;Meat, duck;2014;2014;0.1g/An;16610;g/An;1661;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1069;Meat, duck;2015;2015;0.1g/An;16570;g/An;1657;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1069;Meat, duck;2016;2016;0.1g/An;16553;g/An;1655,3;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1069;Meat, duck;2017;2017;0.1g/An;16605;g/An;1660,5;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1069;Meat, duck;2018;2018;0.1g/An;16657;g/An;1665,7;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2014;2014;0.1g/An;55927;g/An;5592,7;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2015;2015;0.1g/An;50172;g/An;5017,2;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2016;2016;0.1g/An;50990;g/An;5099;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2017;2017;0.1g/An;51254;g/An;5125,4;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2018;2018;0.1g/An;51519;g/An;5151,9;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1080;Meat, turkey;2014;2014;0.1g/An;103267;g/An;10326,7;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1080;Meat, turkey;2015;2015;0.1g/An;104587;g/An;10458,7;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1080;Meat, turkey;2016;2016;0.1g/An;104927;g/An;10492,7;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1080;Meat, turkey;2017;2017;0.1g/An;104046;g/An;10404,6;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5424;Yield/Carcass Weight;1080;Meat, turkey;2018;2018;0.1g/An;105097;g/An;10509,7;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1058;Meat, chicken;2014;2014;0.1g/An;14021;g/An;1402,1;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1058;Meat, chicken;2015;2015;0.1g/An;13103;g/An;1310,3;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1058;Meat, chicken;2016;2016;0.1g/An;13259;g/An;1325,9;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1058;Meat, chicken;2017;2017;0.1g/An;13142;g/An;1314,2;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1058;Meat, chicken;2018;2018;0.1g/An;13191;g/An;1319,1;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1069;Meat, duck;2014;2014;0.1g/An;17631;g/An;1763,1;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1069;Meat, duck;2015;2015;0.1g/An;18982;g/An;1898,2;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1069;Meat, duck;2016;2016;0.1g/An;19642;g/An;1964,2;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1069;Meat, duck;2017;2017;0.1g/An;20024;g/An;2002,4;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1069;Meat, duck;2018;2018;0.1g/An;20237;g/An;2023,7;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2014;2014;0.1g/An;37516;g/An;3751,6;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2015;2015;0.1g/An;44078;g/An;4407,8;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2016;2016;0.1g/An;47423;g/An;4742,3;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2017;2017;0.1g/An;51513;g/An;5151,3;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2018;2018;0.1g/An;49127;g/An;4912,7;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1141;Meat, rabbit;2014;2014;0.1g/An;19390;g/An;1939;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1141;Meat, rabbit;2015;2015;0.1g/An;17941;g/An;1794,1;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1141;Meat, rabbit;2016;2016;0.1g/An;17817;g/An;1781,7;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1141;Meat, rabbit;2017;2017;0.1g/An;17773;g/An;1777,3;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1141;Meat, rabbit;2018;2018;0.1g/An;17728;g/An;1772,8;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1080;Meat, turkey;2014;2014;0.1g/An;95526;g/An;9552,6;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1080;Meat, turkey;2015;2015;0.1g/An;98031;g/An;9803,1;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1080;Meat, turkey;2016;2016;0.1g/An;99301;g/An;9930,1;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1080;Meat, turkey;2017;2017;0.1g/An;118095;g/An;11809,5;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5424;Yield/Carcass Weight;1080;Meat, turkey;2018;2018;0.1g/An;99770;g/An;9977;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1058;Meat, chicken;2014;2014;0.1g/An;15396;g/An;1539,6;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1058;Meat, chicken;2015;2015;0.1g/An;15588;g/An;1558,8;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1058;Meat, chicken;2016;2016;0.1g/An;15787;g/An;1578,7;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1058;Meat, chicken;2017;2017;0.1g/An;15999;g/An;1599,9;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1058;Meat, chicken;2018;2018;0.1g/An;16189;g/An;1618,9;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1069;Meat, duck;2014;2014;0.1g/An;24319;g/An;2431,9;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1069;Meat, duck;2015;2015;0.1g/An;24190;g/An;2419;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1069;Meat, duck;2016;2016;0.1g/An;22163;g/An;2216,3;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1069;Meat, duck;2017;2017;0.1g/An;22113;g/An;2211,3;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1069;Meat, duck;2018;2018;0.1g/An;21830;g/An;2183;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2014;2014;0.1g/An;81667;g/An;8166,7;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2015;2015;0.1g/An;81531;g/An;8153,1;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2016;2016;0.1g/An;49661;g/An;4966,1;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2017;2017;0.1g/An;48586;g/An;4858,6;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2018;2018;0.1g/An;49322;g/An;4932,2;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1141;Meat, rabbit;2014;2014;0.1g/An;15896;g/An;1589,6;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1141;Meat, rabbit;2015;2015;0.1g/An;15856;g/An;1585,6;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1141;Meat, rabbit;2016;2016;0.1g/An;15793;g/An;1579,3;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1141;Meat, rabbit;2017;2017;0.1g/An;15751;g/An;1575,1;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1141;Meat, rabbit;2018;2018;0.1g/An;15710;g/An;1571;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1080;Meat, turkey;2014;2014;0.1g/An;126544;g/An;12654,4;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1080;Meat, turkey;2015;2015;0.1g/An;127283;g/An;12728,3;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1080;Meat, turkey;2016;2016;0.1g/An;129332;g/An;12933,2;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1080;Meat, turkey;2017;2017;0.1g/An;132524;g/An;13252,4;Fc;Calculated data
QL;Livestock Primary;79;Germany;5424;Yield/Carcass Weight;1080;Meat, turkey;2018;2018;0.1g/An;132485;g/An;13248,5;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1058;Meat, chicken;2014;2014;0.1g/An;18821;g/An;1882,1;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1058;Meat, chicken;2015;2015;0.1g/An;19184;g/An;1918,4;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1058;Meat, chicken;2016;2016;0.1g/An;19100;g/An;1910;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1058;Meat, chicken;2017;2017;0.1g/An;19604;g/An;1960,4;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1058;Meat, chicken;2018;2018;0.1g/An;19129;g/An;1912,9;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1069;Meat, duck;2014;2014;0.1g/An;27088;g/An;2708,8;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1069;Meat, duck;2015;2015;0.1g/An;26779;g/An;2677,9;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1069;Meat, duck;2016;2016;0.1g/An;27287;g/An;2728,7;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1069;Meat, duck;2017;2017;0.1g/An;27578;g/An;2757,8;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1069;Meat, duck;2018;2018;0.1g/An;27433;g/An;2743,3;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2014;2014;0.1g/An;45761;g/An;4576,1;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2015;2015;0.1g/An;46172;g/An;4617,2;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2016;2016;0.1g/An;45893;g/An;4589,3;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2017;2017;0.1g/An;44598;g/An;4459,8;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2018;2018;0.1g/An;45283;g/An;4528,3;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1141;Meat, rabbit;2014;2014;0.1g/An;15234;g/An;1523,4;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1141;Meat, rabbit;2015;2015;0.1g/An;14161;g/An;1416,1;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1141;Meat, rabbit;2016;2016;0.1g/An;14065;g/An;1406,5;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1141;Meat, rabbit;2017;2017;0.1g/An;14125;g/An;1412,5;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1141;Meat, rabbit;2018;2018;0.1g/An;14180;g/An;1418;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1080;Meat, turkey;2014;2014;0.1g/An;109600;g/An;10960;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1080;Meat, turkey;2015;2015;0.1g/An;107755;g/An;10775,5;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1080;Meat, turkey;2016;2016;0.1g/An;110547;g/An;11054,7;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1080;Meat, turkey;2017;2017;0.1g/An;112950;g/An;11295;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5424;Yield/Carcass Weight;1080;Meat, turkey;2018;2018;0.1g/An;105201;g/An;10520,1;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1058;Meat, chicken;2014;2014;0.1g/An;17815;g/An;1781,5;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1058;Meat, chicken;2015;2015;0.1g/An;17912;g/An;1791,2;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1058;Meat, chicken;2016;2016;0.1g/An;18243;g/An;1824,3;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1058;Meat, chicken;2017;2017;0.1g/An;18473;g/An;1847,3;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1058;Meat, chicken;2018;2018;0.1g/An;18710;g/An;1871;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1069;Meat, duck;2014;2014;0.1g/An;22830;g/An;2283;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1069;Meat, duck;2015;2015;0.1g/An;23743;g/An;2374,3;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1069;Meat, duck;2016;2016;0.1g/An;23852;g/An;2385,2;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1069;Meat, duck;2017;2017;0.1g/An;24030;g/An;2403;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1069;Meat, duck;2018;2018;0.1g/An;24209;g/An;2420,9;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2014;2014;0.1g/An;45429;g/An;4542,9;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2015;2015;0.1g/An;44066;g/An;4406,6;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2016;2016;0.1g/An;44215;g/An;4421,5;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2017;2017;0.1g/An;44171;g/An;4417,1;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2018;2018;0.1g/An;44127;g/An;4412,7;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1141;Meat, rabbit;2014;2014;0.1g/An;24149;g/An;2414,9;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1141;Meat, rabbit;2015;2015;0.1g/An;22621;g/An;2262,1;Fc;Calculated data
QL;Livestock Primary;173;Poland;5424;Yield/Carcass Weight;1141;Meat, rabbit;2016;2016;0.1g/An;19458;g/An;1945,8;Fc;Calculated data
