DomainCode;Domain;AreaCode;Country;ElementCode;Element;ItemCode;Item;Year;Unit;ProducerPrices_USD_per_ton;Flag;Flag Description
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);358;Cabbages and other brassicas;2016;USD;282.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);358;Cabbages and other brassicas;2017;USD;267.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);358;Cabbages and other brassicas;2018;USD;311.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);426;Carrots and turnips;2016;USD;475.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);426;Carrots and turnips;2017;USD;411.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);426;Carrots and turnips;2018;USD;476.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2016;USD;553.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2017;USD;649.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);393;Cauliflowers and broccoli;2018;USD;572.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);531;Cherries;2016;USD;4582.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);531;Cherries;2017;USD;5062;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);531;Cherries;2018;USD;5019;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);530;Cherries, sour;2016;USD;3943.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);530;Cherries, sour;2017;USD;4246.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);530;Cherries, sour;2018;USD;4412.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);401;Chillies and peppers, green;2016;USD;1451.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);401;Chillies and peppers, green;2017;USD;1406.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);401;Chillies and peppers, green;2018;USD;1364.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2016;USD;618.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2017;USD;563.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);397;Cucumbers and gherkins;2018;USD;655.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);550;Currants;2016;USD;2639.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);550;Currants;2017;USD;3397.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);550;Currants;2018;USD;3347.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);399;Eggplants (aubergines);2016;USD;1630.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);399;Eggplants (aubergines);2017;USD;1131.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);399;Eggplants (aubergines);2018;USD;1415.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1062;Eggs, hen, in shell;2016;USD;2451.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1062;Eggs, hen, in shell;2017;USD;2561.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1062;Eggs, hen, in shell;2018;USD;2770.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);406;Garlic;2016;USD;4048.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);406;Garlic;2017;USD;4056.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);406;Garlic;2018;USD;4283.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);560;Grapes;2016;USD;1080.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);560;Grapes;2017;USD;660.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);560;Grapes;2018;USD;297.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1182;Honey, natural;2016;USD;13273.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1182;Honey, natural;2017;USD;13522.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1182;Honey, natural;2018;USD;8734.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);677;Hops;2016;USD;8616.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);677;Hops;2017;USD;8812.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);677;Hops;2018;USD;9218.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);407;Leeks, other alliaceous vegetables;2016;USD;1105;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);407;Leeks, other alliaceous vegetables;2017;USD;1413.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);407;Leeks, other alliaceous vegetables;2018;USD;1326.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);372;Lettuce and chicory;2016;USD;691.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);372;Lettuce and chicory;2017;USD;720.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);372;Lettuce and chicory;2018;USD;799.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);56;Maize;2016;USD;139.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);56;Maize;2017;USD;158.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);56;Maize;2018;USD;167.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);945;Meat live weight, cattle;2016;USD;2319.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);945;Meat live weight, cattle;2017;USD;2445.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);945;Meat live weight, cattle;2018;USD;2567.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1095;Meat live weight, chicken;2016;USD;1191.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1095;Meat live weight, chicken;2017;USD;1213.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1095;Meat live weight, chicken;2018;USD;1244.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1071;Meat live weight, duck;2016;USD;6163.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1071;Meat live weight, duck;2017;USD;6279;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1071;Meat live weight, duck;2018;USD;7312.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1078;Meat live weight, goose;2016;USD;7534;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1078;Meat live weight, goose;2017;USD;7675.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1078;Meat live weight, goose;2018;USD;8774.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1056;Meat live weight, pig;2016;USD;1340.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1056;Meat live weight, pig;2017;USD;1511.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1056;Meat live weight, pig;2018;USD;1430.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1013;Meat live weight, sheep;2016;USD;2389.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1013;Meat live weight, sheep;2017;USD;2434.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1013;Meat live weight, sheep;2018;USD;2549.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1088;Meat live weight, turkey;2016;USD;1660.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1088;Meat live weight, turkey;2017;USD;1661;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1088;Meat live weight, turkey;2018;USD;1784.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);867;Meat, cattle;2016;USD;4137;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);867;Meat, cattle;2017;USD;4361.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);867;Meat, cattle;2018;USD;4579.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1058;Meat, chicken;2016;USD;2313;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1058;Meat, chicken;2017;USD;2345.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1058;Meat, chicken;2018;USD;3224.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1069;Meat, duck;2016;USD;8805;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1069;Meat, duck;2017;USD;8970.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1069;Meat, duck;2018;USD;10446.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1073;Meat, goose and guinea fowl;2016;USD;10762.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1073;Meat, goose and guinea fowl;2017;USD;10964.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1073;Meat, goose and guinea fowl;2018;USD;12535.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1035;Meat, pig;2016;USD;1659.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1035;Meat, pig;2017;USD;1870.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1035;Meat, pig;2018;USD;1770.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);977;Meat, sheep;2016;USD;5005.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);977;Meat, sheep;2017;USD;5313.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);977;Meat, sheep;2018;USD;5578.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1080;Meat, turkey;2016;USD;2076.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1080;Meat, turkey;2017;USD;2075.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1080;Meat, turkey;2018;USD;2230.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);882;Milk, whole fresh cow;2016;USD;346.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);882;Milk, whole fresh cow;2017;USD;420.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);882;Milk, whole fresh cow;2018;USD;476.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1020;Milk, whole fresh goat;2016;USD;896;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1020;Milk, whole fresh goat;2017;USD;912.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);1020;Milk, whole fresh goat;2018;USD;967.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);982;Milk, whole fresh sheep;2016;USD;1382.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);982;Milk, whole fresh sheep;2017;USD;1408.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);982;Milk, whole fresh sheep;2018;USD;1404.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2016;USD;2765.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2017;USD;2817.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);449;Mushrooms and truffles;2018;USD;2950.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);75;Oats;2016;USD;115;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);75;Oats;2017;USD;128.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);75;Oats;2018;USD;142.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);339;Oilseeds, nes;2016;USD;3869.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);339;Oilseeds, nes;2017;USD;2705.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);339;Oilseeds, nes;2018;USD;2948.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);403;Onions, dry;2016;USD;251.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);403;Onions, dry;2017;USD;158.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);403;Onions, dry;2018;USD;297.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);534;Peaches and nectarines;2016;USD;1268.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);534;Peaches and nectarines;2017;USD;1315.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);534;Peaches and nectarines;2018;USD;1767;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);521;Pears;2016;USD;883.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);521;Pears;2017;USD;1187.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);521;Pears;2018;USD;1398.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);187;Peas, dry;2016;USD;164.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);187;Peas, dry;2017;USD;174.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);187;Peas, dry;2018;USD;193.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);417;Peas, green;2016;USD;334.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);417;Peas, green;2017;USD;429.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);417;Peas, green;2018;USD;328.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);536;Plums and sloes;2016;USD;1636;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);536;Plums and sloes;2017;USD;1824.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);536;Plums and sloes;2018;USD;2535.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);296;Poppy seed;2016;USD;2077.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);296;Poppy seed;2017;USD;2309;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);296;Poppy seed;2018;USD;2714.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);116;Potatoes;2016;USD;163.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);116;Potatoes;2017;USD;251.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);116;Potatoes;2018;USD;244.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);394;Pumpkins, squash and gourds;2016;USD;929.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);270;Rapeseed;2016;USD;377.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);270;Rapeseed;2017;USD;368.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);270;Rapeseed;2018;USD;365.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);71;Rye;2016;USD;138.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);71;Rye;2017;USD;147.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);71;Rye;2018;USD;160.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);236;Soybeans;2016;USD;368.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);236;Soybeans;2017;USD;388.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);236;Soybeans;2018;USD;403.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);373;Spinach;2016;USD;712.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);373;Spinach;2017;USD;740.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);373;Spinach;2018;USD;822.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);544;Strawberries;2016;USD;3788.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);544;Strawberries;2017;USD;3020.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);544;Strawberries;2018;USD;3417.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);157;Sugar beet;2016;USD;28.08;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);267;Sunflower seed;2016;USD;333;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);267;Sunflower seed;2017;USD;320;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);267;Sunflower seed;2018;USD;280.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);388;Tomatoes;2016;USD;935.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);388;Tomatoes;2017;USD;963.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);388;Tomatoes;2018;USD;995.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);97;Triticale;2016;USD;113.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);97;Triticale;2017;USD;134.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);97;Triticale;2018;USD;148.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);222;Walnuts, with shell;2016;USD;4117.1;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);222;Walnuts, with shell;2017;USD;4329.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);222;Walnuts, with shell;2018;USD;4310.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);15;Wheat;2016;USD;127.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);15;Wheat;2017;USD;158.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);15;Wheat;2018;USD;170;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);987;Wool, greasy;2016;USD;696.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);987;Wool, greasy;2017;USD;709.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);987;Wool, greasy;2018;USD;743.6;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);515;Apples;2016;USD;401.6;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);515;Apples;2017;USD;497.3;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);515;Apples;2018;USD;286.1;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);526;Apricots;2016;USD;799.7;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);526;Apricots;2017;USD;391.3;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);526;Apricots;2018;USD;1029.6;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);44;Barley;2016;USD;174.2;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);44;Barley;2017;USD;174.9;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);44;Barley;2018;USD;188.7;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);176;Beans, dry;2016;USD;2333;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);176;Beans, dry;2017;USD;2385.7;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);176;Beans, dry;2018;USD;2343.4;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);414;Beans, green;2016;USD;977.9;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);414;Beans, green;2017;USD;1669.4;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);414;Beans, green;2018;USD;1166;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);89;Buckwheat;2016;USD;509;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);89;Buckwheat;2017;USD;637.8;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);89;Buckwheat;2018;USD;261.2;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);358;Cabbages and other brassicas;2016;USD;148.7;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);358;Cabbages and other brassicas;2017;USD;201.7;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);358;Cabbages and other brassicas;2018;USD;280;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);426;Carrots and turnips;2016;USD;498.8;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);426;Carrots and turnips;2017;USD;484.6;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);426;Carrots and turnips;2018;USD;764;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);531;Cherries;2016;USD;2174;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);531;Cherries;2017;USD;1242.4;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);531;Cherries;2018;USD;1362.7;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);530;Cherries, sour;2016;USD;429.8;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);530;Cherries, sour;2017;USD;824.6;;Official data
PP;Producer Prices - Annual;80;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);530;Cherries, sour;2018;USD;800.2;;Official data
